configuration,half_distance,exit_lower,exit_upper,return_lower,return_upper
0,155.5,12.6,13.8,21.0,22.6
1,175.5,11.8,13.4,21.6,23.0
2,195.5,11.0,12.6,22.0,24.8
3,215.5,10.2,11.6,23.0,24.8
4,235.5,7.8,10.6,23.2,24.6
5,255.5,7.2,10.0,22.8,25.2
6,275.5,6.0,8.0,23.6,25.6
7,295.5,5.6,7.2,24.2,26.4
8,315.5,3.0,5.2,23.0,25.2
