USB2G57977_1:101,
784,0.9
785,-0.63
786,5.27
787,3.87
788,-0.26
789,0.1
790,4.32
791,2.47
792,2.7
793,-0.23
794,1.84
795,1.72
796,-0.04
797,2.26
798,3.14
799,3.56
800,3
801,1
802,2.97
803,2.03
804,6.97
805,3.97
806,-0.09
807,1.19
808,4.33
809,5.53
810,2.1
811,1.05
812,0.9
813,2.73
814,3.54
815,-1.31
816,-1.14
817,0.78
818,2.25
819,2.78
820,4.87
821,1.5
822,2.11
823,2.88
824,2.4
825,2.81
826,-0.01
827,4.65
828,5.27
829,0.48
830,0.95
831,2.05
832,7.52
833,3.91
834,0.41
835,3.54
836,1.89
837,0.22
838,1.43
839,0.07
840,3.37
841,0.68
842,1.62
843,-2.73
844,2.35
845,1.92
846,1.16
847,1.18
848,1.99
849,-0.59
850,1.97
851,2.65
852,3.96
853,-0.05
854,2.24
855,2.03
856,-0.1
857,2.83
858,1.11
859,-0.16
860,2.47
861,2.77
862,4.72
863,0.32
864,1.13
865,5.08
866,-2.15
867,0.58
868,4.12
869,-0.99
870,4.92
871,0.79
872,2.27
873,1.18
874,0.55
875,3.34
876,3.37
877,1.01
878,2.9
879,1.22
880,-0.26
881,-1.54
882,3.41
883,1.76
884,8.27
885,2.38
886,2.14
887,1.89
888,0.4
889,-1.63
890,3.64
891,2.79
892,-0.16
893,0.86
894,1.03
895,-0.1
896,1.01
897,-1.03
898,-0.26
899,2.53
900,0.52
901,1.12
902,3.88
903,1.93
904,7.2
905,1.24
906,2.09
907,2.55
908,-1.16
909,2
910,2.84
911,3.03
912,2.95
913,0.71
914,3.36
915,-2.34
916,-1.2
917,4.23
918,1.65
919,0.72
920,-1.08
921,2.06
922,4
923,1.47
924,-2.34
925,0.92
926,1.25
927,1.2
928,-0.12
929,1.4
930,-3.3
931,1.9
932,-2.9
933,0.9
934,2.04
935,0.88
936,1.52
937,1.83
938,-0.42
939,1.97
940,0.08
941,-1.13
942,3.01
943,5.14
944,-0.78
945,2.83
946,2.76
947,1.69
948,1.26
949,-0.84
950,-0.04
951,3.84
952,1.55
953,2.87
954,-0.99
955,-1.48
956,-2.41
957,1.22
958,4.85
959,2.94
960,3.17
961,0.93
962,2.93
963,-0.18
964,-0.31
965,0.42
966,-0.46
967,3.05
968,0.9
969,6.05
970,0.82
971,-0.83
972,-1.27
973,1.07
974,-0.09
975,5.98
976,0.62
977,3.55
978,2.34
979,1.97
980,0.54
981,1.97
982,1.85
983,2.51
984,2.97
985,3.24
986,0.78
987,1.43
988,1.1
989,-0.87
990,4.62
991,1.2
992,2.28
993,2.27
994,4.27
995,1.04
996,3.5
997,0.7
998,-1.12
999,-0.02
1000,-3.39
