USB2G57977_1:101,
350,-0.04
351,-2.09
352,1.03
353,0.36
354,0.74
355,1.28
356,0.02
357,-1.97
358,0.06
359,-1.45
360,3.91
361,2.23
362,5.16
363,-2.09
364,0.85
365,1.39
366,3.05
367,1.04
368,1.72
369,3.78
370,3.12
371,1.99
372,0.86
373,1.66
374,1.61
375,5.24
376,4.16
377,2.26
378,2.45
379,-2.08
380,0.37
381,-1.03
382,1.92
383,3.6
384,2.29
385,3.79
386,3.3
387,2.83
388,1
389,5.07
390,2.85
391,4.11
392,2.52
393,5.61
394,4.31
395,4.91
396,2.83
397,5.61
398,5.75
399,3.29
400,2.51
401,2.21
402,3.83
403,4.07
404,2.36
405,-2.09
406,3.39
407,3.36
408,5.79
409,4.22
410,5.72
411,5.76
412,4.89
413,4.54
414,6.15
415,3.65
416,3.63
417,1.03
418,4.03
419,3.92
420,4.35
421,7.54
422,7.71
423,5.9
424,5.94
425,6.67
426,8.9
427,4.22
428,4.35
429,4.88
430,5.33
431,5.06
432,9.66
433,0.94
434,7.44
435,6.35
436,2.38
437,5.99
438,4.21
439,3.29
440,4.74
441,4.75
442,3.03
443,1.77
444,2.63
445,7.17
446,3.82
447,6
448,3.92
449,1.93
450,7.46
451,6.8
452,5.99
453,4.6
454,5.18
455,5.08
456,6.68
457,2.29
458,7.99
459,3.5
460,0.03
461,7.81
462,3.71
463,6.65
464,2.77
465,4.18
466,5.33
467,2.14
468,4.96
469,6.08
470,5.06
471,7.98
472,4.75
473,4
474,3.07
475,2.13
476,4.55
477,5.1
478,4.02
479,1.55
480,1.92
481,7.27
482,1.49
483,6.56
484,3.88
485,4.24
486,4.42
487,5.87
488,5.95
489,4.54
490,9.93
491,7.79
492,4.96
493,6.47
494,4.4
495,6.83
496,8.44
497,6.75
498,3.88
499,3.75
500,3.64
501,8.83
502,9.53
503,6.92
504,5.67
505,6.63
506,6.84
507,8.88
508,7.78
509,3.47
510,5.58
511,7.03
512,8.83
513,4.93
514,6.72
515,9.9
516,9.23
517,9.2
518,7.13
519,9.87
520,6.81
521,7.14
522,4.33
523,9.08
524,6.81
525,10
526,6.09
527,5.21
528,9
529,8.09
530,6.95
531,9.48
532,9.48
533,10.71
534,10.81
535,8.1
536,9.3
537,11.08
538,7.2
539,11.39
540,9.72
541,8.15
542,9.94
543,11.18
544,14.02
545,10.93
546,13.21
547,14.53
548,17.4
549,18.72
550,20.94
551,22.29
552,28.14
553,25.22
554,27.55
555,35.85
556,39.99
557,43.05
558,50.02
559,56.72
560,60.81
561,77.84
562,87.71
563,96.31
564,115.92
565,127.22
566,151.88
567,171.14
568,195.51
569,229.43
570,261.54
571,304.54
572,345.52
573,405.03
574,463.34
575,539.22
576,614.19
577,719.25
578,805.7
579,951.79
580,1087.63
581,1227.07
582,1410.81
583,1605.05
584,1849.68
585,2107.16
586,2389.77
587,2656.18
588,2974.81
589,3208.87
590,3387.9
591,3498.88
592,3540.87
593,3501.54
594,3372.29
595,3175.78
596,2789.66
597,2375.93
598,1990.14
599,1637.29
600,1371.71
601,1166.11
602,1014.36
603,856.05
604,729.92
605,625.72
606,539.75
607,450.76
608,377.99
609,323.4
610,274.15
611,228.81
612,194.02
613,161.91
614,132.91
615,123.24
616,102.18
617,84.06
618,77.19
619,62.4
620,53.88
621,44.35
622,43.64
623,34.11
624,32.35
625,25.89
626,27.98
627,23
628,19.72
629,18.89
630,13.59
631,13.3
632,13.49
633,13.94
634,11.2
635,10.9
636,10.87
637,7.79
638,8.19
639,6.14
640,8.73
641,8.28
642,6.87
643,7.08
644,5.49
645,5.85
646,5.98
647,4.91
648,2.92
649,5.48
650,4.75
651,3.1
652,6.42
653,5.25
654,1.73
655,4.32
656,2.28
657,6.69
658,3.93
659,3.88
660,5.94
661,3.86
662,7.68
663,6.68
664,1.7
665,7.1
666,3.57
667,1.9
668,4.9
669,3.33
670,2.62
671,4.93
672,5.9
673,2.91
674,1.85
675,2.07
676,2.44
677,6.55
678,3.25
679,5.15
680,4.12
681,2.4
682,0.56
683,4.84
684,2.18
685,6.14
686,2.72
687,1.45
688,7.59
689,4.04
690,3.59
691,3.73
692,2.8
693,1.69
694,4.91
695,2.83
696,2.82
697,1.22
698,1.67
699,5.35
700,2.24
701,4.12
702,1.54
703,2.62
704,3.5
705,-1.02
706,4.53
707,0.59
708,2.98
709,3.23
710,0.25
711,4.31
712,1.28
713,4.21
714,2.09
715,1.84
716,3.7
717,0.21
718,3.17
719,2.38
720,-0.42
721,3.68
722,2.36
723,1.18
724,1.31
725,1.65
726,1.63
727,5.3
728,2.02
729,3.13
730,1.84
731,1.64
732,3.59
733,2.4
734,1.93
735,2.12
736,1.99
737,3.4
738,1.76
739,2.97
740,3.25
741,3.44
742,3.98
743,3.02
744,3.69
745,6.41
746,3.81
747,3.98
748,1.9
749,-1.1
750,0.95
751,6.64
752,3.82
753,0.25
754,0.1
755,1.22
756,2.79
757,2.91
758,2.89
759,3.25
760,3.81
761,5.27
762,-0.86
763,1.92
764,3.09
765,4.56
766,-0.12
767,1.44
768,2.77
769,0.88
770,3.81
771,1.25
772,7.43
773,3.63
774,2.79
775,4.03
776,1.92
777,-2.94
778,3.29
779,5.38
780,2.5
781,2.47
782,5.49
783,5.95
