USB2G57977_1:101,
350,-0.65
351,0.05
352,-0.9
353,0.63
354,0.87
355,-2.7
356,-3.64
357,2.9
358,0.31
359,-1.5
360,2.98
361,-0.12
362,0.09
363,-0.04
364,1.04
365,4.81
366,2.92
367,-1.8
368,3.05
369,-1.31
370,2.62
371,3.88
372,4.14
373,2.4
374,1.3
375,4.5
376,2.44
377,5.07
378,1.93
379,0.94
380,1.74
381,3.54
382,7.93
383,0.86
384,5.19
385,2.15
386,3.9
387,5.88
388,3.66
389,7.26
390,6.15
391,8.03
392,6.01
393,12.76
394,17.8
395,29
396,33.36
397,55.39
398,115.06
399,213.35
400,430.22
401,793.9
402,1174.24
403,1424.09
404,1443.94
405,1409.04
406,1296.27
407,1199.24
408,1034.11
409,868.03
410,638.74
411,411.46
412,229.35
413,116.63
414,58.12
415,27.37
416,21.92
417,13.72
418,12.45
419,11.97
420,5.92
421,6.69
422,4.14
423,8.06
424,4.91
425,4.87
426,3.95
427,2.67
428,4.66
429,1.79
430,2.27
431,4.98
432,7.55
433,5.97
434,3.03
435,4.03
436,3.08
437,4.95
438,2.14
439,-0.83
440,4.71
441,2.51
442,4.06
443,4.89
444,2.91
445,1.12
446,2.56
447,3.1
448,3.96
449,6.87
450,4.37
451,6.12
452,2.89
453,2.18
454,4.55
455,2.33
456,3.08
457,1.55
458,2
459,3.23
460,2.13
461,-0.62
462,2.3
463,3.04
464,1.5
465,0.83
466,3.87
467,3.82
468,4.59
469,4.66
470,1.4
471,1.77
472,1.81
473,2.04
474,1.44
475,3.85
476,1.11
477,2.76
478,1.45
479,0.33
480,3.26
481,4.03
482,1.32
483,2.15
484,0.94
485,1.19
486,0.9
487,1.93
488,-0.02
489,1.5
490,-0.91
491,-1.13
492,-0.09
493,-0.13
494,-0.09
495,3.82
496,3.03
497,5.02
498,-0.07
499,1.67
500,3.25
501,-0.91
502,0.9
503,0.15
504,1.89
505,1.08
506,3.85
507,4.84
508,-1.61
509,0.15
510,4.09
511,0.06
512,0.56
513,0.74
514,1.13
515,-0.06
516,-0.03
517,0.77
518,-2.35
519,-0.86
520,2.84
521,-0.12
522,-0.52
523,2.86
524,5.95
525,3.02
526,2.05
527,-0.33
528,-0.99
529,1.09
530,2.1
531,-0.32
532,1.5
533,-1.45
534,0.73
535,0.9
536,3.03
537,3.58
538,2.13
539,2.82
540,3.9
541,-0.41
542,-2.21
543,2.37
544,3.89
545,1.89
546,0.99
547,2.48
548,6.54
549,1.01
550,-1.94
551,-1.02
552,-0.14
553,3.21
554,-0.59
555,2.23
556,0.96
557,0.97
558,-6.31
559,-1.32
560,0.99
561,3.03
562,4.89
563,0.09
564,3.11
565,-1.55
566,0.03
567,-1.88
568,0.89
569,4.47
570,3.03
571,-0.91
572,-1.77
573,1.54
574,-0.04
575,-3.7
576,0.84
577,0.96
578,0.38
579,0.42
580,-3.98
581,3.74
582,-1.14
583,-0.58
584,-1.73
585,1.85
586,-3.25
587,0.92
588,0.05
589,-0.02
590,3.54
591,2.63
592,1.18
593,1.02
594,-2.05
595,2.73
596,-0.9
597,0.85
598,0.81
599,2.8
600,-3.08
601,-0.05
602,-0.49
603,-0.53
604,-0.02
605,0.67
606,-0.12
607,3.18
608,0.11
609,-0.19
610,2.25
611,4.83
612,0.74
613,-0.72
614,-3.15
615,-2.33
616,-0.53
617,-2.27
618,0.2
619,2.47
620,-2.78
621,-0.48
622,-7.5
623,-1.83
624,-4.44
625,2.94
626,1.07
627,0.92
628,-1.15
629,-2.66
630,3.57
631,1.73
632,-1.68
633,-0.05
634,0.87
635,-2.05
636,0.99
637,-2.15
638,-0.74
639,-2.98
640,-0.62
641,0.31
642,-1.19
643,-0.81
644,-0.91
645,-0.79
646,-3.16
647,2.04
648,3.65
649,0.74
650,-0.59
651,1.31
652,2.35
653,-2.75
654,-2.2
655,-1.63
656,-0.73
657,0.15
658,-1.1
659,-3.01
660,2.01
661,-0.08
662,-0.13
663,2.05
664,-1.16
665,-1.17
666,-0.66
667,2.23
668,-0.76
669,-0.4
670,-0.18
671,-2.37
672,0.85
673,-0.11
674,-2.08
675,1.38
676,-0.57
677,-0.34
678,-2.32
679,-2.79
680,-2.76
681,-0.74
682,1.67
683,-0.2
684,-2.79
685,-0.77
686,-3.18
687,-1.62
688,-1.6
689,0.09
690,2.32
691,-1.31
692,-1.16
693,-1.46
694,-1.04
695,-1.04
696,-2.14
697,1.03
698,-1.91
699,-1.23
700,1.84
701,-0.49
702,-2.31
703,-0.22
704,-2.6
705,-1.89
706,1.66
707,1.1
708,1.41
709,-3.06
710,-1.18
711,0.44
712,-0.1
713,-1.26
714,-4.56
715,0.38
716,1.24
717,3.3
718,-3.6
719,-2.61
720,-1.21
721,0.12
722,1.13
723,0.41
724,-0.86
725,2.08
726,1.35
727,-1.4
728,-1.72
729,-2.28
730,-2.12
731,-1.26
732,-0.3
733,-1.59
734,-2.43
735,2.9
736,-2.75
737,-2.12
738,-1.09
739,-2.11
740,0.23
741,-2.35
742,-0.81
743,-1.29
744,1.07
745,-5.15
746,-3.53
747,-1.24
748,-0.04
749,-1.05
750,-3.04
751,-1.34
752,-1.85
753,1.46
754,-0.2
755,-1.38
756,-0.59
757,-1.43
758,-2.25
759,-1.75
760,2.32
761,-2.7
762,-1.84
763,-2.57
764,4.1
765,-1.94
766,-3.24
767,-1.96
768,-4.1
769,-1.02
770,-1.94
771,-1.95
772,0.88
773,-1.7
774,0.1
775,-0.69
776,-1.19
777,-3.43
778,-1.16
779,1.86
780,0.11
781,-3.46
782,0.12
783,-0.07
784,-0.09
785,-2.27
786,-3.5
787,1.41
788,1.28
789,-2.4
790,0.26
791,-0.64
792,-3.16
793,-1.8
794,-1.01
795,-0.28
796,0.96
797,1.19
798,0.29
799,-0.96
800,-1.68
801,-2.04
802,-0.84
803,-3.08
804,-0.07
805,0.65
806,-1.32
807,-3.86
808,-0.24
809,-2.96
810,-2.56
811,0.98
812,-0.05
813,-4.86
814,1.3
815,-1.47
816,-1.36
817,-1.85
818,1.45
819,0.75
820,-0.91
821,2.71
822,-1.22
823,-0.81
824,-2.67
825,-2.15
826,0.07
827,2.7
828,-1.04
829,-1.19
830,-4.11
831,-3.93
832,2.66
833,0.89
834,2.46
835,0.4
836,0.75
837,3.82
838,2.53
839,-4.93
840,-1.36
841,-0.91
842,-1.33
843,-3.38
844,-1.16
845,-0.08
846,-1.89
847,0.71
848,-0.11
849,-3.77
850,-0.09
851,3.97
852,-2.12
853,-0.94
854,-0.12
855,-3.1
856,-0.07
857,1.86
858,-2.67
859,-0.18
860,0.71
861,0.85
862,0.33
863,-1.08
864,-0.12
865,-1.17
866,0.53
867,0.55
868,-0.63
869,-0.1
870,-4.05
871,1.56
872,0.51
873,-2.44
874,-2.12
875,1.73
876,-1.62
877,-1.83
878,3.09
879,-5.33
880,0.53
881,1.49
882,2.62
883,-5.78
884,2.48
885,0.99
886,-2.06
887,0.86
888,-2.1
889,-0.91
890,-0.58
891,2.83
892,0.4
893,1.17
894,-0.11
895,-4.69
896,0.36
897,-3.08
898,2.13
899,0.44
900,0.89
901,-0.92
902,0.85
903,-0.36
904,3.2
905,-2.5
906,2.15
907,2.25
908,-1.73
909,-2.76
910,-2.84
911,-4.19
912,0.94
913,-0.78
914,-3.83
915,0.34
916,1.46
917,2.4
918,0.61
919,-5.04
920,2.32
921,-3.44
922,-0.92
923,-0.08
924,-0.1
925,-3.17
926,-0.99
927,1.27
928,-4.05
929,-3.9
930,-0.41
931,-2
932,1.79
933,0.33
934,-1.27
935,3.18
936,-0.91
937,-1.18
938,-0.3
939,0.56
940,2.65
941,-2.79
942,-0.69
943,0.89
944,-2.95
945,0.87
946,-1.47
947,0.34
948,-1.95
949,-0.23
950,-1.26
951,1.13
952,-2.19
953,0.93
954,0.93
955,-0.46
956,-2.21
957,-3.25
958,-3.1
959,1.42
960,-2.18
961,-1.09
962,-3.45
963,-1.1
964,-1.14
965,-4.48
966,1.64
967,1.39
968,-3.09
969,2.28
970,-1.73
971,-0.58
972,-1.32
973,-1.14
974,-0.48
975,1.01
976,-1.47
977,-2.97
978,-6.19
979,2.13
980,0.12
981,-3.23
982,2.28
983,0.93
984,-0.93
985,-0.53
986,-0.06
987,1.9
988,-4
989,-0.43
990,-4.01
991,2.47
992,0.74
993,0.92
994,-2.21
995,0.12
996,0.98
997,0.54
998,1.16
999,-1.68
1000,-1.45
