USB2G57977_1:101,
350,-0.41
351,-1.39
352,0.1
353,0.01
354,1.69
355,1.88
356,1.6
357,0.01
358,2.86
359,-3.79
360,-1.07
361,1.65
362,2.09
363,1.87
364,4.03
365,2.19
366,-4.22
367,1.82
368,3.27
369,-0.35
370,2.98
371,0.47
372,1.23
373,3.02
374,4.04
375,1.69
376,2.82
377,4.79
378,1.26
379,3.75
380,5.79
381,3.55
382,1.9
383,2.43
384,3.8
385,3.83
386,4.81
387,1.82
388,4
389,1.12
390,2.93
391,2.75
392,2.56
393,6.25
394,4.44
395,2.89
396,3.13
397,1.4
398,3.58
399,3.15
400,3.23
401,4.87
402,0.97
403,7.39
404,6.5
405,2.96
406,5.92
407,6.11
408,3.49
409,4.83
410,4.95
411,3.66
412,4.88
413,4.1
414,5.17
415,3.59
416,2.38
417,4.4
418,4.03
419,1.87
420,2.42
421,4.53
422,1.52
423,5.36
424,6.39
425,3.55
426,3.87
427,4.67
428,2.61
429,3.79
430,7.11
431,4.16
432,7.24
433,4.09
434,6.27
435,5.92
436,4.24
437,5.01
438,5.38
439,4.73
440,1.15
441,4.25
442,4.77
443,6.29
444,1.26
445,4.39
446,3.72
447,5.01
448,4.87
449,2.98
450,3.91
451,5.37
452,4
453,3.88
454,7.3
455,3.09
456,4.75
457,2.2
458,3.63
459,4.79
460,6.13
461,4.11
462,1.16
463,6.63
464,5.05
465,0.82
466,5.29
467,4.73
468,4.4
469,5.48
470,4.62
471,1.8
472,2.69
473,2.23
474,3.61
475,4.79
476,4.12
477,6.83
478,4.4
479,2.86
480,6.78
481,3.1
482,3.36
483,3.82
484,5.8
485,1.03
486,2.77
487,2.18
488,7.77
489,6.44
490,6.19
491,4.16
492,5.7
493,5.05
494,3.86
495,4.24
496,1.94
497,1.99
498,3.41
499,6.36
500,9.11
501,5.73
502,5.48
503,4.72
504,6.2
505,4.01
506,5.96
507,5.71
508,1.2
509,9.07
510,7.96
511,3.35
512,5.11
513,4.38
514,4.99
515,4.87
516,7.49
517,5.18
518,7.48
519,6.42
520,1.97
521,4.78
522,4.97
523,6.52
524,4.51
525,7.8
526,7.33
527,4.75
528,5.46
529,6.95
530,5.51
531,8.16
532,1.38
533,3.86
534,8.18
535,10.91
536,8.31
537,6.01
538,3.58
539,5.95
540,5.85
541,7.83
542,5.04
543,4.29
544,8.97
545,7.84
546,6.18
547,6.11
548,6.58
549,10.52
550,11.89
551,8.9
552,9.07
553,11.44
554,9.95
555,11.32
556,8.89
557,9.2
558,12.34
559,13.01
560,13.31
561,13.01
562,11.91
563,19.41
564,20.17
565,20.13
566,20.81
567,21.94
568,28.07
569,28.02
570,31.61
571,35.11
572,41.83
573,41.66
574,48.74
575,54.82
576,59.73
577,70.72
578,78.37
579,87.06
580,92.31
581,109.37
582,119.06
583,138.6
584,159.13
585,182.07
586,193.16
587,216.62
588,252.99
589,280.79
590,325.54
591,375.06
592,405.16
593,477.96
594,545.22
595,624.46
596,703.77
597,811.41
598,913.25
599,1060.02
600,1201.22
601,1349.68
602,1501.75
603,1669.91
604,1851.07
605,2078.17
606,2276.6
607,2531.09
608,2745.8
609,2940.75
610,3105.14
611,3184.15
612,3177.33
613,3037.74
614,2782.16
615,2393.11
616,2002.39
617,1585.2
618,1254.41
619,964.57
620,757.53
621,605.09
622,512.36
623,432.63
624,354.84
625,303.1
626,264.36
627,214.75
628,186.03
629,159.68
630,137.68
631,113.38
632,96.7
633,78.89
634,61.08
635,60.87
636,52.38
637,45.51
638,37.79
639,35.73
640,29.06
641,24.8
642,26.73
643,23.22
644,21.38
645,21.83
646,11.83
647,6.14
648,10.85
649,10.41
650,15.01
651,10.92
652,7.96
653,8.53
654,9.83
655,7.86
656,6.56
657,7.75
658,8.88
659,4.27
660,5.67
661,3.89
662,3.2
663,4.26
664,5.14
665,5.9
666,5.98
667,4.27
668,6
669,1.48
670,8.32
671,3.69
672,-0.23
673,2.89
674,2.94
675,0.35
676,4.46
677,5.32
678,8.03
679,5.64
680,2.9
681,4.15
682,3.65
683,4.41
684,4.95
685,3.77
686,2.49
687,1.93
688,4.48
689,8.11
690,3.68
691,3.52
692,5.76
693,3.55
694,3.87
695,2.93
696,2.79
697,7.66
698,3.8
699,2.41
700,2.04
701,-1.44
702,1.55
703,1.63
704,3.07
705,3.37
706,3.22
707,2.01
708,4.88
709,1.45
710,3.16
711,4.65
712,2.73
713,3.57
714,4.72
715,4.56
716,4.47
717,5.84
718,4.19
719,0.37
720,2.95
721,3.58
722,2.39
723,2.17
724,2.65
725,4.1
726,4.51
727,2.99
728,3.78
729,2.81
730,2.42
731,1.1
732,1.6
733,1.15
734,1.81
735,0.02
736,3.32
737,1.9
738,0.44
739,4.6
740,1.88
741,4.42
742,2.55
743,0.79
744,1.49
745,1.04
746,5.03
747,2.9
748,0.9
749,3.87
750,3.01
751,2.9
752,-0.63
753,0.6
754,3.61
755,-0.51
756,0.52
757,-0.44
758,-4.94
759,3.33
760,0.38
761,3.59
762,2.59
763,1.47
764,4.54
765,2.41
766,0.03
767,0.94
768,1.55
769,2.85
770,2.78
771,2.89
772,3.01
773,1.43
774,1.3
775,3.25
776,-1.4
777,3.13
778,1.06
779,1.28
780,3.48
781,-0.19
782,2.2
783,1.88
784,3.99
785,2.52
786,-0.98
787,1.02
788,1.69
789,1.62
790,-0.29
791,1.95
792,-1.16
793,2.78
794,-1.07
795,5.1
796,1.7
797,0.89
798,1.88
799,2.59
800,1.65
801,7.66
802,2.62
803,-0.15
804,3.92
805,3.42
806,2.9
807,-1.14
808,3.79
809,-0.35
