USB2G57977_1:101,
872,-0.27
873,1.57
874,-0.43
875,1.01
876,0.67
877,3.26
878,-1.64
879,0.8
880,1.07
881,0.86
882,0.58
883,-0.08
884,1.36
885,0.34
886,-3.67
887,1.74
888,1.03
889,1.02
890,-1.72
891,1.16
892,2.87
893,0.38
894,1.62
895,-2.62
896,-4.26
897,1.55
898,-1.24
899,-0.77
900,2.5
901,-0.1
902,-2.15
903,-2.59
904,0.25
905,0.13
906,-0.73
907,2.68
908,0.46
909,1.79
910,2.86
911,-0.6
912,-0.25
913,0.95
914,2.05
915,3.56
916,0.05
917,-0.12
918,3.88
919,1.02
920,1.98
921,1.8
922,0.73
923,2.55
924,-3.88
925,2.8
926,2.49
927,-2.06
928,-0.15
929,1.2
930,-2.96
931,-0.21
932,-0.43
933,-1.13
934,2.89
935,0.38
936,1.67
937,3.68
938,-0.9
939,-0.45
940,0.06
941,1.02
942,1.5
943,1.75
944,-1.26
945,0.82
946,2.11
947,0.58
948,-0.22
949,0.6
950,1.31
951,-1.15
952,1.34
953,2.86
954,0.71
955,1.29
956,2.53
957,0.66
958,0.61
959,1.2
960,0.41
961,3.34
962,3.02
963,-1.22
964,1.91
965,2.73
966,1.92
967,0.39
968,1.84
969,-0.41
970,-0.92
971,0.37
972,0.22
973,-1.76
974,4.04
975,-2.08
976,0.97
977,-0.81
978,-0.04
979,-0.28
980,0.94
981,-1.81
982,-0.61
983,-2
984,0.81
985,-1.74
986,1.84
987,-0.23
988,-0.84
989,0.05
990,-0.29
991,3.37
992,5.02
993,-0.22
994,-1.58
995,-0.62
996,7.32
997,2.02
998,0.7
999,0.04
1000,1.78
