USB2G57977_1:101,
350,0.02
351,0.9
352,0.05
353,-0.04
354,-0.92
355,-0.63
356,-1.9
357,-0.12
358,1.08
359,0.34
360,-2.2
361,0.51
362,-1.72
363,1.83
364,1.46
365,1.32
366,-0.18
367,-0.84
368,0.99
369,0.73
370,-0.9
371,2.64
372,1.95
373,4.12
374,0.61
375,2.73
376,1.86
377,3.1
378,3.04
379,3.6
380,0.05
381,-2.28
382,3.84
383,8
384,1.68
385,4.01
386,-0.87
387,1.75
388,1.77
389,-2.47
390,1.82
391,2.9
392,4.83
393,6.01
394,2.85
395,3.86
396,2.88
397,0.53
398,1.6
399,2.09
400,2.22
401,0.5
402,5.96
403,5.65
404,1.7
405,4.64
406,3.19
407,3.74
408,3.42
409,4.22
410,4.45
411,1.21
412,2.84
413,4.49
414,4.63
415,0.86
416,2.89
417,2.43
418,1.89
419,3.83
420,5.27
421,2.72
422,1.62
423,3.45
424,5.03
425,3.22
426,4.84
427,0.22
428,2.73
429,2.71
430,0.06
431,0.54
432,5.79
433,3.77
434,-0.39
435,3.21
436,0.82
437,4.9
438,4.1
439,5.11
440,-0.35
441,3.84
442,3.21
443,4.38
444,-0.26
445,-1.13
446,1.4
447,3.46
448,3.86
449,1.5
450,1.76
451,4.58
452,-0.52
453,2.34
454,1.85
455,1.54
456,2.05
457,1.44
458,2.79
459,3.95
460,3.86
461,3.55
462,1.59
463,3.77
464,3.16
465,0.54
466,2.95
467,1.08
468,1.75
469,2.77
470,2.9
471,4.99
472,2.18
473,5.04
474,5.66
475,5
476,3.46
477,0.99
478,0.95
479,3.55
480,0.86
481,4.43
482,4.73
483,1.49
484,7.68
485,3.81
486,0.19
487,4.77
488,5.8
489,4.91
490,2.03
491,2.14
492,2.73
493,3.51
494,5.29
495,2.39
496,1.15
497,1.83
498,3.95
499,5.34
500,9.81
501,2.66
502,2.14
503,5.32
504,1.93
505,2.57
506,-1.19
507,3.83
508,4.74
509,4.07
510,3.04
511,3.43
512,9.63
513,2.07
514,3.62
515,4.84
516,1.47
517,3.48
518,4.81
519,7.12
520,2.9
521,7.32
522,2.26
523,5.97
524,8.1
525,4.01
526,5.96
527,6.59
528,0.66
529,4.91
530,6.96
531,-0.19
532,3.73
533,3.45
534,6.37
535,4.17
536,5.62
537,6.18
538,6.48
539,8.14
540,6.79
541,5.07
542,5.37
543,7.66
544,4.96
545,3.83
546,6.98
547,7.34
548,2.71
549,6.17
550,3.17
551,5.87
552,5.69
553,5.71
554,8.78
555,5.38
556,5.81
557,8.16
558,4.24
559,5.42
560,7.71
561,6.92
562,5.68
563,7.58
564,7.09
565,6.64
566,8.96
567,4.02
568,7.77
569,6.22
570,10.83
571,7.71
572,12.99
573,8.73
574,8.88
575,14.67
576,9.76
577,11.85
578,14.78
579,14.96
580,16.01
581,18.53
582,19.86
583,18.09
584,24.25
585,21.54
586,29.47
587,28.84
588,30.01
589,33.18
590,35.8
591,47.33
592,53.91
593,53.74
594,60
595,69.04
596,74.14
597,82.19
598,95.8
599,105.45
600,116.37
601,134.85
602,150.32
603,170.6
604,182.82
605,206.81
606,218.64
607,251.47
608,286.48
609,306.1
610,338.01
611,387.5
612,427.79
613,468.87
614,529.24
615,580.7
616,646.43
617,714.38
618,809.6
619,886.92
620,1007.16
621,1082.79
622,1233.34
623,1357.65
624,1478.47
625,1607.34
626,1775.47
627,1966.4
628,2096.37
629,2301.37
630,2504.66
631,2698.12
632,2973.7
633,3188.78
634,3359.89
635,3499.95
636,3644
637,3710.2
638,3745.36
639,3751.7
640,3681.28
641,3514.13
642,3247.34
643,2840.97
644,2407.94
645,1953.35
646,1628.23
647,1333.98
648,1096.32
649,928.81
650,781.4
651,673.1
652,564.89
653,481.26
654,409.14
655,356.86
656,297.32
657,243.84
658,199.02
659,176.89
660,146.43
661,119.28
662,105.48
663,84.76
664,76.16
665,60.56
666,52.08
667,45.88
668,39.5
669,43.63
670,31.1
671,29.08
672,26.97
673,24.83
674,19.67
675,18.58
676,15.66
677,14.75
678,14.04
679,9.77
680,11.63
681,9.14
682,11.72
683,11.19
684,8.58
685,8.44
686,5.79
687,5.17
688,8.11
689,6.99
690,5.84
691,3.91
692,8.7
693,10.51
694,4.86
695,3.75
696,3.79
697,7.82
698,1.38
699,3.85
700,3.36
701,3.68
702,4.06
703,3.54
704,1.87
705,1.2
706,2.78
707,5.62
708,4.1
709,0.97
710,0.34
711,1.63
712,3.33
713,3.73
714,3.9
715,1.28
716,6.33
717,5.35
718,0.33
719,1.87
720,1.27
721,2.19
722,0.39
723,4.17
724,2.63
725,1.62
726,-1.61
727,5.14
728,4.23
729,3.68
730,0.19
731,3.23
732,3.65
733,4.14
734,0.43
735,0.48
736,3.21
737,3.31
738,5.79
739,3.31
740,2.18
741,-2.3
742,3.9
743,0.63
744,2.04
745,1.11
746,2.59
747,-1.22
748,1.96
749,2.85
750,2.86
751,2.85
752,0.92
753,-1.45
754,1.65
755,2.44
756,1.44
757,4.04
758,3.12
759,-1.04
760,0.96
761,2.02
762,0.84
763,-1.26
764,4.3
765,-3.1
766,0.92
767,-0.37
768,1.26
769,0.81
770,2.75
771,2.9
772,3.12
773,3.41
774,4.27
775,5.99
776,1.97
777,5.35
778,-0.67
779,2.37
780,-0.84
781,-0.55
782,2.92
783,3.87
784,1.7
785,0.84
786,0.25
787,-0.43
788,-2.27
789,-0.5
790,0.46
791,0.21
792,-0.61
793,0.7
794,-0.17
795,1.4
796,3.3
797,1.73
798,1.92
799,1.53
800,3.75
801,0.32
802,0.58
803,0.77
804,0.73
805,0.85
806,-0.39
807,-0.44
808,0.86
809,1.68
810,0.37
811,-3.09
812,3.84
813,-0.29
814,-1.53
815,1.43
816,2.05
817,0.31
818,-1.43
819,1.13
820,-0.25
821,3.68
822,0.74
823,-3.55
824,2.6
825,2.37
826,3.78
827,0.57
828,-0.21
829,-0.46
830,3.12
831,0.09
832,1
833,2.82
834,2.97
835,1.29
836,2.17
837,0.61
838,-1.92
839,2.87
840,3.24
841,-1.84
842,-4.6
843,1.92
844,2
845,-4.17
846,1.55
847,1.69
848,-0.28
849,1.79
850,0.87
851,-1.07
852,-2.19
853,2.07
854,2.87
855,6.28
856,-2.01
857,-0.19
858,1.27
859,1.62
860,-1.06
861,0.95
862,1.56
863,1.3
864,1.53
865,2.43
866,1.77
867,1.5
868,1
869,2.09
870,11.84
871,0.25
