USB2G57977_1:101,
350,-1.66
351,0.09
352,-1.48
353,2.08
354,0.97
355,-0.41
356,3.04
357,2.39
358,5.98
359,1.75
360,-1.74
361,-0.96
362,2.56
363,5.2
364,0.72
365,2.63
366,2.09
367,2.49
368,4.54
369,0.34
370,3.47
371,7.04
372,0.51
373,1.11
374,4.82
375,-0.56
376,4.05
377,1.08
378,1.11
379,2.28
380,2.03
381,1.91
382,3.19
383,1.61
384,4.65
385,1.39
386,0.66
387,1.29
388,4.12
389,4.61
390,5.59
391,3.47
392,0.39
393,2.85
394,2.27
395,7.17
396,8.45
397,3.33
398,4.1
399,4.45
400,1.17
401,8.08
402,4.25
403,4.42
404,4.51
405,-0.74
406,4.84
407,6.19
408,1.37
409,3.54
410,3.49
411,6.88
412,2.22
413,2.96
414,4.14
415,4.42
416,7.29
417,5.71
418,5.54
419,2.24
420,4.39
421,1.64
422,3.19
423,7.5
424,5.95
425,5.66
426,3.21
427,4.78
428,1.05
429,4.81
430,2.5
431,5.81
432,5.05
433,6
434,5.65
435,2.75
436,5.11
437,7.2
438,5.75
439,3.62
440,4.36
441,5.38
442,4.38
443,4.43
444,5.2
445,2.73
446,3.38
447,5.15
448,5.21
449,6.42
450,5.67
451,4.69
452,7.28
453,3.56
454,4.83
455,6.05
456,1.12
457,5.54
458,1.86
459,6.52
460,4.01
461,4.09
462,1.01
463,4.21
464,5.06
465,4.95
466,4.95
467,4.29
468,5.1
469,4.08
470,6.49
471,6.91
472,2.06
473,3.94
474,4.35
475,4.11
476,4.3
477,5.29
478,5.44
479,5.02
480,2.07
481,3.53
482,2.46
483,2.2
484,3.14
485,3.04
486,5.62
487,6.73
488,5.2
489,3.68
490,5.33
491,4.63
492,1.38
493,3.13
494,0.53
495,1.86
496,0.56
497,6.11
498,3.57
499,2.62
500,4.27
501,6.35
502,2.4
503,6.35
504,2.53
505,4.74
506,2.13
507,2.38
508,3.87
509,6.42
510,6.25
511,2.46
512,6.75
513,1.23
514,4.56
515,1.21
516,3
517,3.88
518,2.65
519,4
520,3.05
521,3.69
522,6.16
523,4.39
524,5.49
525,4.37
526,-0.13
527,4.2
528,1.42
529,0.47
530,2.49
531,2.63
532,0.08
533,5.04
534,4.47
535,4.27
536,4.09
537,2.4
538,5.58
539,3.13
540,2.23
541,4.13
542,2.43
543,4.69
544,4.96
545,6.22
546,6.92
547,2.02
548,6.38
549,4.66
550,6.44
551,3.28
552,4.8
553,3.7
554,6.61
555,8.15
556,2.24
557,2.1
558,3.28
559,4.18
560,4.5
561,3.93
562,6.19
563,4.41
564,0.71
565,3.15
566,4.1
567,2.96
568,11.28
569,1.1
570,4.78
571,9.63
572,5.3
573,2.58
574,2.15
575,4.78
576,4.77
577,6.99
578,2.39
579,2.99
580,7.11
581,9.98
582,5.66
583,6.48
584,3.8
585,4.84
586,5.16
587,10.27
588,6.98
589,6.52
590,8.58
591,6.09
592,9.55
593,8.27
594,16.28
595,12.17
596,14.85
597,14.96
598,13.12
599,13.63
600,19.66
601,21.21
602,24.63
603,27.25
604,30.3
605,33.62
606,36.2
607,42.55
608,47.16
609,49.17
610,60.82
611,66.5
612,74.86
613,90.27
614,101.75
615,115.34
616,126.6
617,144.76
618,161.05
619,179.55
620,206.01
621,233.27
622,251.45
623,279.2
624,313.62
625,346.88
626,388.09
627,426.67
628,481.54
629,543.59
630,609.05
631,690.78
632,770.84
633,845.48
634,925.03
635,1028.32
636,1178.76
637,1284.7
638,1425.11
639,1618.43
640,1757.66
641,1969.02
642,2162.97
643,2417.59
644,2666.31
645,2884.56
646,3122.5
647,3297.98
648,3439.27
649,3505.94
650,3550.55
651,3557.3
652,3533.98
653,3476.81
654,3349.89
655,3182.08
656,2980.41
657,2735.51
658,2456.92
659,2213.09
660,1929.81
661,1682.5
662,1459.41
663,1299.3
664,1122.87
665,966.23
666,833.56
667,736.41
668,634.69
669,526.13
670,449.38
671,389.58
672,325.34
673,274.45
674,233.34
675,199.53
676,163.16
677,135.39
678,113.61
679,95.58
680,78.17
681,70.73
682,63.91
683,49.61
684,42.55
685,37.92
686,34
687,25.93
688,22.98
689,16.78
690,19.24
691,12.47
692,14.1
693,11.75
694,8.21
695,9.28
696,10.2
697,8.16
698,8.76
699,7.14
700,4.79
701,5.83
702,8.42
703,5.75
704,2.74
705,3.83
706,3.73
707,3.46
708,4.9
709,5.73
710,6.07
711,0.3
712,2.85
713,6.68
714,0.11
715,1.7
716,5.64
717,2.36
718,4.58
719,3.23
720,4.11
721,3.77
722,3.93
723,4.6
724,4.3
725,3.25
726,2.31
727,3.46
728,4.17
729,2.66
730,2.43
731,2.89
732,5.41
733,1.35
734,2.27
735,1.01
736,2.83
737,5.72
738,4.42
739,2.66
740,0.07
741,1.97
742,1.47
743,5.69
744,1.16
745,-0.14
746,2.61
747,3.19
748,8.2
749,1.21
750,1.3
751,5.07
752,0.08
753,4.47
754,11.64
755,1.03
756,3.41
757,1.58
758,3.16
759,5.32
760,1.15
761,4.01
762,4.93
763,4.01
764,-1.46
765,-0.39
766,2.63
767,2.17
768,2.26
769,2.19
770,1.1
771,1.29
772,4.15
773,4.91
774,-1.79
775,2.48
776,3.01
777,2.03
778,2.18
779,4.5
780,3.09
781,-0.23
782,1.18
783,4.22
784,7.19
785,3.68
786,1.19
787,0.53
788,0.67
789,0.7
790,4.65
791,-0.46
792,4.24
793,4.41
794,3.19
795,3.3
796,5
797,0.99
798,2.1
799,2.39
800,6.65
801,4.69
802,1.44
803,4.25
804,2.18
805,3.95
806,0.61
807,0.55
808,1.5
809,3.99
810,3.19
811,1.95
812,3.22
813,4.33
814,4.34
815,4.55
816,2.01
817,0.68
818,0.1
819,3.09
820,1.25
821,2.21
822,4.78
823,0.86
824,4.43
825,4.69
826,-0.88
827,-0.71
828,-1.07
829,1.26
830,1.43
831,1.1
832,-1.19
833,2.23
834,2.03
835,5.48
836,5.36
837,3.69
838,0.83
839,3.15
840,1.82
841,-0.37
842,2.4
843,3.65
844,-2
845,2.24
846,-0.09
847,-0.41
848,0.96
849,3.43
850,1.32
851,-1.37
852,1.98
853,2.72
854,0.23
855,0.15
856,2.31
857,1.25
858,0.3
859,6.2
860,0.01
861,2.2
862,-0.22
863,3.94
864,3.78
865,2.32
866,0.01
867,1.79
868,3.2
869,0.27
870,5.23
871,1.15
872,-0.09
873,2.88
874,2.17
875,-2.83
876,1.73
877,3.06
878,2.48
879,5.38
880,0.76
881,-0.31
882,4.29
883,3.15
884,-1.7
885,0.92
886,3.09
887,2.18
888,1.11
889,3.44
890,2.29
891,2.23
892,4.93
893,1.93
894,4.11
895,1.01
896,-1.25
897,2.46
898,2.54
899,3.67
900,1.8
901,2.01
902,2.13
903,2.78
904,3.76
905,2.3
906,1.43
907,4.15
908,0.92
909,3.32
910,1.67
911,-0.06
912,0.33
913,2.72
914,5.17
915,1.75
916,-0.05
917,4.2
918,2.17
919,2.72
920,0.96
921,1.85
922,6.21
923,-1.37
924,1.48
925,0.22
926,1.44
927,-0.57
928,1.19
929,2.35
930,3.25
931,0.19
932,2.79
933,1.24
934,2.24
935,3.33
936,2.36
937,2.34
938,1.85
939,1.12
940,1.23
941,0.3
942,3.14
943,0.31
944,-0.41
945,-0.74
946,5.35
947,2.3
948,2.14
949,2.64
950,-0.75
951,3.32
952,2.96
953,3.25
954,-0.6
955,2.53
956,0.29
957,1.59
958,0.03
959,1.63
960,2.17
961,5.19
962,5.9
963,4.18
964,3.63
965,0.36
966,2.04
967,2.55
968,5.21
969,3.16
970,1.22
971,0.41
972,1.17
973,0.65
974,3.14
975,3.23
976,0.17
977,2.17
978,-0.6
979,0.2
980,1.16
981,2.09
982,-0.07
983,4.89
984,2.25
985,0.11
986,1.23
987,0.43
988,2.1
989,1.11
990,1.76
991,1.66
992,1.67
993,3.76
994,0.34
995,4.69
996,0.11
997,1.76
998,5.88
999,5.55
1000,3.54
