USB2G57977_1:101,
350,-1.52
351,-1.25
352,-1.17
353,2.25
354,1.69
355,-0.9
356,-0.9
357,-2.23
358,-1.01
359,-0.38
360,2.81
361,4.26
362,1.3
363,-1.19
364,-0.33
365,2.96
366,2.84
367,2.93
368,2.09
369,5.83
370,0.68
371,3.57
372,6.79
373,4.16
374,1.98
375,4.17
376,2.71
377,1.96
378,0.78
379,5.01
380,7.07
381,5.94
382,5.81
383,4.86
384,4.9
385,5.56
386,0.79
387,4.04
388,3.35
389,4.64
390,5.86
391,6.99
392,3.72
393,5.77
394,4.28
395,8.81
396,5.3
397,5.11
398,5.52
399,6.56
400,5.12
401,7.77
402,5.98
403,6.27
404,10.09
405,6.91
406,12.83
407,7.96
408,10.39
409,16.67
410,8.47
411,5.19
412,5.79
413,7.11
414,10.45
415,10.66
416,13.15
417,14.48
418,11.49
419,14.82
420,13.94
421,14.63
422,13.65
423,16.21
424,15.61
425,16.09
426,12.8
427,16.65
428,22.32
429,19.74
430,23.96
431,24.78
432,34.33
433,37.59
434,44.42
435,48.88
436,60.25
437,76.4
438,85.63
439,97.45
440,114.5
441,140.05
442,159.63
443,194.14
444,216.49
445,262.33
446,304.5
447,338.41
448,395.91
449,456.75
450,535.05
451,672.9
452,809.16
453,996.88
454,1274.71
455,1420.25
456,1578.53
457,1858.96
458,2114.12
459,2108.59
460,2620.6
461,2926.72
462,3284.36
463,3532.13
464,3632.37
465,3718.76
466,3781.9
467,3774.26
468,3741.8
469,3731.76
470,3644.93
471,3554.37
472,3455.12
473,3288.62
474,3090.03
475,2761.85
476,2724.48
477,2640.33
478,2582.33
479,2486.48
480,2415.3
481,2368.17
482,2311.45
483,2251.61
484,2158.45
485,2095.04
486,1997.51
487,1856.91
488,1686.51
489,1549.74
490,1414.1
491,1287.53
492,1170.5
493,1100.98
494,1000.92
495,926.45
496,872.11
497,808.13
498,734.68
499,692.14
500,636.17
501,582.35
502,544.64
503,502.71
504,463.46
505,418.81
506,383.55
507,343.27
508,313.24
509,286.46
510,259.06
511,237.59
512,218.11
513,201.61
514,182.04
515,164.79
516,150.49
517,142.35
518,132.48
519,120.48
520,109.78
521,106.5
522,94.62
523,89.99
524,79.49
525,70.92
526,57.75
527,63.39
528,56.35
529,52.39
530,47.67
531,40.19
532,34.94
533,35.33
534,31.78
535,33.05
536,27.66
537,29.1
538,22.83
539,26.46
540,17.86
541,20.26
542,20.65
543,20.83
544,18.77
545,12.8
546,18.24
547,13.34
548,13.73
549,11.33
550,13.04
551,7.9
552,12.16
553,9.15
554,9.35
555,6.85
556,9.79
557,8.49
558,5.32
559,10.33
560,10.17
561,7.07
562,9.72
563,5.77
564,4.86
565,8.8
566,6.38
567,7.58
568,1.85
569,4.32
570,4.86
571,5.23
572,7.9
573,6.04
574,5.76
575,7.88
576,2.79
577,3.43
578,5.77
579,4.45
580,3.88
581,8.74
582,2.24
583,-5.54
