USB2G57977_1:101,
350,2.71
351,-1.11
352,-2.04
353,-0.31
354,0.75
355,1.07
356,2.57
357,-1.34
358,-0.14
359,-3.46
360,-2.51
361,0.91
362,1.22
363,1.61
364,-0.93
365,3.19
366,-0.36
367,2.94
368,1.54
369,1.72
370,0.06
371,3.71
372,0.54
373,2.21
374,1.18
375,4.27
376,1.13
377,3.34
378,1.3
379,1.56
380,5.99
381,-0.79
382,-0.41
383,0.61
384,2.08
385,4.68
386,2.63
387,4.2
388,1.12
389,0.22
390,1.03
391,5.26
392,6.67
393,5.86
394,3.73
395,7.52
396,7.14
397,5.26
398,0.52
399,6.76
400,2.22
401,-0.32
402,0.5
403,4.02
404,1.94
405,7.61
406,5.59
407,2.21
408,6.29
409,4.92
410,3.84
411,7.54
412,5.59
413,3.83
414,1.29
415,5.21
416,4.75
417,4.54
418,2.27
419,4.66
420,5.57
421,4.28
422,2.53
423,5.99
424,8.19
425,4.79
426,3.61
427,5.33
428,5.97
429,4.62
430,11.14
431,5.84
432,8.36
433,6.6
434,3.72
435,3.99
436,7.39
437,6.65
438,8.64
439,7.1
440,6.64
441,8.82
442,7.62
443,8.53
444,8.02
445,7.27
446,10.35
447,6.21
448,8.62
449,7.93
450,6.45
451,5.8
452,4.68
453,10.05
454,7.49
455,9.31
456,10.88
457,12.11
458,8.71
459,7.04
460,12.22
461,14.06
462,8.87
463,8.96
464,12.71
465,12.11
466,15.01
467,14.08
468,20.1
469,21.19
470,19.1
471,29.44
472,33.76
473,35.8
474,45.55
475,46.77
476,58.43
477,67.9
478,82.27
479,96.22
480,119.95
481,143.14
482,177.52
483,219.94
484,257.2
485,299.05
486,371.57
487,437.04
488,526.3
489,624.94
490,732.95
491,887.26
492,1050.73
493,1219.2
494,1386.15
495,1570.43
496,1794.03
497,2021.38
498,2271.74
499,2497.57
500,2725.82
501,2932.83
502,3095.58
503,3202.64
504,3275.73
505,3272.11
506,3285.43
507,3242.31
508,3165.29
509,3114.78
510,3017.06
511,2895.46
512,2773.79
513,2597.51
514,2378.06
515,2242.38
516,2040.85
517,1939.26
518,1887.95
519,1745.19
520,1634.99
521,1554.97
522,1460.67
523,1375.56
524,1308.85
525,1178.23
526,1086.76
527,1056.1
528,962.44
529,920.79
530,824.1
531,774.57
532,716.84
533,650.47
534,567.63
535,533.87
536,498.6
537,462.65
538,425.12
539,393.56
540,364.99
541,335.73
542,319.08
543,298.74
544,266.65
545,262.36
546,244.46
547,222.22
548,208.96
549,192.5
550,176.61
551,166.61
552,160.58
553,141.82
554,131.56
555,120.79
556,121.54
557,102.78
558,98.75
559,90.59
560,80.83
561,70.08
562,73.55
563,66.09
564,54.03
565,52.24
566,50.28
567,51.12
568,44.63
569,43.21
570,37.36
571,35.53
572,31.2
573,32.84
574,32.63
575,25.26
576,24.39
577,22.79
578,22.54
579,18.69
580,20.63
581,15.44
582,16.64
583,14.29
584,15.05
585,15.98
586,15.46
587,13.62
588,7.91
589,9.09
590,7.39
591,5.94
592,6.9
593,8.63
594,8.7
595,7.66
596,5.34
597,4.18
598,6.34
599,6.71
600,6.8
601,8.61
602,2.71
603,2.92
604,4.17
605,3.47
606,4.24
607,4.59
608,4.32
609,4.62
610,0.78
611,3.18
612,4.27
613,4.9
614,-0.17
615,-0.82
616,4.61
617,2.57
618,4.12
619,-0.34
620,1.86
621,-0.15
622,5.26
623,5.09
