USB2G57977_1:101,
828,0.2
829,2.72
830,0
831,-1.3
832,0.47
833,2.27
834,0.03
835,-0.93
836,2.77
837,0.76
838,4.63
839,2.23
840,1.24
841,0.41
842,1.77
843,0.99
844,1.23
845,5.34
846,-1
847,0.5
848,0.82
849,2.53
850,-0.62
851,2.35
852,1.66
853,0.44
854,-0.29
855,-2.16
856,2.13
857,1.47
858,1.26
859,2.69
860,2.3
861,0.45
862,1.96
863,1.41
864,1.38
865,3.16
866,1.2
867,-0.04
868,1.57
869,1.08
870,0.31
871,0.81
872,3.29
873,2.44
874,2.38
875,0.63
876,1.76
877,-1.18
878,1.41
879,2.49
880,0.65
881,1.48
882,0.19
883,3.47
884,0.95
885,1.43
886,-0.93
887,3.26
888,2.92
889,1.69
890,4.05
891,2.26
892,4.88
893,6.02
894,-0.66
895,-0.02
896,0.56
897,0.25
898,1.49
899,1.22
900,1.51
901,2.24
902,1.36
903,2.6
904,4.89
905,-1.91
906,-0.22
907,4.28
908,3.04
909,4.33
910,5.31
911,4.25
912,-1.56
913,-1.29
914,3.42
915,0.43
916,0.93
917,1.34
918,0.86
919,2
920,-0.13
921,2.73
922,2.17
923,5.41
924,-1.77
925,2.33
926,2.5
927,1.77
928,1.33
929,0.22
930,2.6
931,0.35
932,1.82
933,2.12
934,5.38
935,-0.8
936,1.46
937,1.49
938,0.21
939,0.53
940,1.25
941,0.17
942,0.99
943,0.42
944,0.79
945,-1.71
946,-0.32
947,0.69
948,-1.65
949,4.72
950,2.01
951,0.97
952,-2.07
953,2.31
954,3.96
955,2.09
956,4.24
957,2.61
958,3.12
959,1.3
960,3.18
961,1.22
962,4.59
963,1.39
964,-1.97
965,2.88
966,2.78
967,2.57
968,3.25
969,5.01
970,0.5
971,0.08
972,2.18
973,3.76
974,1.75
975,1.46
976,3.19
977,3.26
978,-0.23
979,-0.62
980,3.26
981,4.62
982,0.22
983,2.89
984,1.44
985,-0.91
986,3.37
987,0.91
988,2.02
989,-1.45
990,5.8
991,2.15
992,0.68
993,0.47
994,1.08
995,1.18
996,3.56
997,1.14
998,1.98
999,2.61
1000,1.8
