anode_voltage,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,yn1,yn2,yn3,yn4,yn5,coord_unc,current,voltage,voltagen,current_unc,currentn
1000,2.0,4.0,6.0,8.0,10.0,-0.75,-2,-4.00,-6.75,-10,0.75,2,3.75,6.75,9.5,0.05,0.0850,1.090,1.102,0.05,-0.0850
1500,2.0,4.0,6.0,8.0,10.0,-0.75,-2,-4,-6.75,-10,0.75,2,4,6.5,9.75,0.05,0.1052,1.350,1.364,0.05,-0.1052
2000,2.0,4.0,6.0,8.0,10.0,-0.75,-2,-4,-6.75,-10,0.75,2,4,6.75,10,0.05,0.1238,1.590,1.662,0.05,-0.1238
2500,2.0,4.0,6.0,8.0,10.0,-0.75,-2,-4,-6.75,-10,0.75,2,4.25,7,10,0.05,0.1393,1.790,1.804,0.05,-0.1393
3000,2.0,4.0,6.0,8.0,10.0,-0.75,-2,-4,-6.75,-10,0.75,2,4.25,7,10.25,0.05,0.1540,1.980,1.990,0.05,-0.1540
