Model: ,Oscilloscope DSO-X 3102A
Serial Number:,MY52490212
Address: ,USBInstrument2
Date: ,2026-02-11 13:46:04

Analog Sample Count:,989,

Setup Text Information:,
ANALOG,,,,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,Ch 2,,,,,,,,,,,,
Scale,3.1 V/,,Scale,24 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,-4.06875 V,,Pos,73.2 mV,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Coup,DC,,Noise Rej,Off,,Main Scale,15.2 ms/,,Vectors,On,,
BW,Off,,BW,Off,,HF Rej,Off,,Main Delay,55 ms,,Persistence,Off,,
Inv,Off,,Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Imp,50 Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Skew,0 s,,Slope,POS,,,,,,,,
,,,,,,Level,4.1075 V,,,,,,,,

Analog Channels,,,,,
Sample Number,Time (s),1 (VOLT),2 (VOLT),,
1,-0.0209,0.043812558054924,0.0172402072930709,,
2,-0.0207463992,-0.080810546875,0.016275383241009,,
3,-0.0205927984,0.043812558054924,0.016275383241009,,
4,-0.0204391976,0.043812558054924,0.016275383241009,,
5,-0.0202855968,0.043812558054924,0.0172402072930709,,
6,-0.020131996,0.043812558054924,0.0172402072930709,,
7,-0.0199783952,0.043812558054924,0.016275383241009,,
8,-0.0198247944,0.043812558054924,0.0172402072930709,,
9,-0.0196711936,-0.080810546875,0.0172402072930709,,
10,-0.0195175928,0.043812558054924,0.016275383241009,,
11,-0.019363992,0.043812558054924,0.0153105591889471,,
12,-0.0192103912,-0.080810546875,0.016275383241009,,
13,-0.0190567904,-0.080810546875,0.016275383241009,,
14,-0.0189031896,0.043812558054924,0.016275383241009,,
15,-0.0187495888,-0.080810546875,0.0172402072930709,,
16,-0.018595988,-0.080810546875,0.016275383241009,,
17,-0.0184423872,0.043812558054924,0.016275383241009,,
18,-0.0182887864,0.043812558054924,0.0172402072930709,,
19,-0.0181351856,-0.080810546875,0.016275383241009,,
20,-0.0179815848,0.043812558054924,0.0172402072930709,,
21,-0.017827984,-0.080810546875,0.016275383241009,,
22,-0.0176743832,-0.080810546875,0.0182050313451327,,
23,-0.0175207824,-0.080810546875,0.0153105591889471,,
