Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 12:29:56

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,100 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-1.646 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.0021453125,-0.0660804089566227,,
2,-0.0021443125,-0.0670854341879021,,
3,-0.0021433125,-0.0675879468035419,,
4,-0.0021423125,-0.0675879468035419,,
5,-0.0021413125,-0.0680904594191816,,
6,-0.0021403125,-0.0688442283426411,,
7,-0.0021393125,-0.0693467409582809,,
8,-0.0021383125,-0.0695979972661007,,
9,-0.0021373125,-0.0703517661895603,,
10,-0.0021363125,-0.0718593040364794,,
11,-0.0021353125,-0.0718593040364794,,
12,-0.0021343125,-0.0723618166521192,,
13,-0.0021333125,-0.0731155855755787,,
14,-0.0021323125,-0.0736180981912185,,
15,-0.0021313125,-0.0736180981912185,,
16,-0.0021303125,-0.0741206108068582,,
17,-0.0021293125,-0.0751256360381376,,
18,-0.0021283125,-0.076130661269417,,
19,-0.0021273125,-0.0766331738850567,,
20,-0.0021263125,-0.0768844301928766,,
21,-0.0021253125,-0.0768844301928766,,
22,-0.0021243125,-0.0773869428085163,,
23,-0.0021233125,-0.0783919680397958,,
24,-0.0021223125,-0.0788944806554355,,
25,-0.0021213125,-0.0798995058867149,,
26,-0.0021203125,-0.0798995058867149,,
27,-0.0021193125,-0.0804020185023546,,
28,-0.0021183125,-0.0804020185023546,,
29,-0.0021173125,-0.0806532748101745,,
30,-0.0021163125,-0.0809045311179943,,
31,-0.0021153125,-0.0814070437336341,,
32,-0.0021143125,-0.0821608126570936,,
33,-0.0021133125,-0.0826633252727333,,
34,-0.0021123125,-0.0831658378883731,,
35,-0.0021113125,-0.0836683505040128,,
36,-0.0021103125,-0.0844221194274724,,
