pb_fwhm1,pb_fwhm2,al_fwhm1,al_fwhm2
33.4,32.6,37.6,36.3
29.9,31.7,32.6,42.8
27.3,27.8,33.9,33.5
23.5,28.8,34.2,14.4
5.05,1.73,26.7,23.7
18.7,7.67,29.6,11.6
20.7,2.78,12.74,9.2
