Test,# of plates,P1 Count,P2 Count,Al thickness [cm],P1 C Unc,P2 C Unc
1,0,225,140,0,15,11.83215957
2,1,211,143,1.3,14.52583905,11.95826074
3,2,164,152,2.61,12.80624847,12.32882801
4,3,137,103,3.96,11.70469991,10.14889157
5,4,125,93,5.28,11.18033989,9.643650761
6,5,111,87,6.58,10.53565375,9.327379053
7,6,77,56,7.9,8.774964387,7.483314774
