t	M
2	10
3	9.1
4	8.1
5	7.8
6	7.6
7	7.3
8	6.6
9	6
10	5.2
11	5
12	4.5
13	4.1
14	3.7
15	3.3
16	2.8
17	2.6
18	2.1
19	1.8
20	1.3
21	0.8
22	0.7
23	0
24	0.6
25	1.25
26	1.5
27	1.7
28	2
29	2.5
30	2.7
31	3
32	3.2
33	3.4
34	3.7
35	4
36	4.1
37	4.3
38	4.4
39	4.7
40	4.9
41	5
42	5.4
43	5.5
44	5.7
45	5.9
