t	M
5	1.06
10	0.93
15	0.79
20	0.59
25	0.43
30	0.32
35	0.25
40	0.19
45	0.12
50	0.14
55	0.21
60	0.31
65	0.43
70	0.55
75	0.64
80	0.76
85	0.84
90	0.94
95	1.03
100	1.09
