t	M
0.5	7.44
1.0	6.07
1.5	4.31
2.0	3.18
2.5	1.89
3.0	1
3.5	1.25
4.0	1.89
4.5	2.86
5.0	3.5
5.5	4.31
6.0	4.95
6.5	5.43
7.0	5.99
7.5	6.64
8.0	6.88
8.5	7.36
9.0	7.6
9.5	7.92
