t	M
0.2	9.05
0.3	6.64
0.4	3.9
0.5	1.49
0.6	0.85
0.7	2.3
0.8	3.9
0.9	4.95
1.0	6.31
1.1	7.52
1.2	8.7
1.3	9.5
1.4	10.58
1.5	11.06
1.6	11.4
1.7	11.78
1.8	11.86
