trial,accel_value,accel_unc,expected_value,expected_unc
1,2.04,0.04,2.36,0.1
2,3.58,0.06,3.88,0.08
3,4.32,0.08,4.57,0.05
4,4.85,0.09,5.05,0.04
5,5.53,0.1,5.72,0.03
