h,h_unc
6.569999999999999e-34,1.7999999999999998e-35
6.68e-34,2.6e-35
6.5e-34,2.5e-35
6.51e-34,2.7e-35
6.6099999999999995e-34,2.7e-35
6.67e-34,2.5e-35
6.64e-34,2.6e-35
6.659999999999999e-34,2.7e-35
6.44e-34,2.8e-35
