max_wavelength,wavelength_unc,stopping_voltage,stopping_voltage_unc
438.0,3.0,1.2635,0.0001
466.0,13.0,1.14,0.0001
506.0,12.0,0.8612,0.0001
519.0,14.0,0.8044,0.0001
569.0,12.0,0.6306,0.0001
592.0,7.0,0.5669,0.0001
611.0,7.0,0.4929,0.0001
639.0,9.0,0.4073,0.0001
650.0,10.0,0.3113,0.0001
