index,stopping_voltage,voltage_unc,wavelength,filter_wavelength
0,289.53,0.01,640,
1,325.54,0.01,626,
2,384.4,0.1,604,
3,416.0,0.1,590,
4,461.0,0.1,570,
5,534.4,0.1,525,
6,553.6,0.1,505,
7,650.1,0.1,470,
8,737.9,0.1,455,436
9,884.2,0.1,400,405
