filter,wavelength,initial_current,stopping_voltage,stopping_voltage_uncertainty
,640,5.21,0.3113,0.0001
,626,5.21,0.4073,0.0001
,604,5.21,0.4929,0.0001
,590,5.21,0.5669,0.0001
,570,5.21,0.6306,0.0001
,525,5.21,0.8044,0.0001
,505,5.21,0.8612,0.0001
,470,5.21,1.14,0.0001
,455,5.21,1.2635,0.0001
,400,5.21,1.7388,0.0001
