max_wavelength,lower_bound,upper_bound,wavelength_unc
438,433.41995607131554,440.35128803048775,3.0
466,458.06298226699266,484.2851360376095,13.0
506,496.1123394696986,519.5900567983882,12.0
519,506.8122559415448,534.2257475663354,14.0
569,557.4230227444494,582.0379921863101,12.0
592,583.933234898619,598.5411363720104,7.0
611,602.7215301960043,616.8223884985221,7.0
639,627.1082607749022,644.9518540169136,9.0
651,640.6162778923479,659.8540965630195,10.0
