t	M
10	1.46
20	1.28
30	1.12
40	1.01
50	0.80
60	0.71
70	0.61
80	0.56
90	0.44
100	0.39
110	0.33
120	0.30
130	0.27
140	0.23
150	0.18
160	0.17
170	0.16
180	0.15
190	0.13
200	0.12
