Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-04 13:36:17

Analog Sample Count:,960,

Setup Text Information:,
ANALOG,,,,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,Ch 2,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(1),,,Pk-Pk(2),,,
Scale,100 mV/,,Scale,980 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,3647,,Cur,No signal,,Cur,0.179,,Cur,0.98,,
Pos,0 V,,Pos,11.75 mV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Coup,DC,,Noise Rej,Off,,Main Scale,280 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,BW,Off,,HF Rej,Off,,Main Delay,-2.08 ms,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,,,,Level,1.0625 V,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,,
Sample Number,Time (s),1 (VOLT),2 (VOLT),,
1,-0.003478125,0.00628140769549645,-0.111365606077015,,
2,-0.003475208335,0.00527638246421702,-0.106440981850028,,
3,-0.00347229167,0.00552763877203688,-0.108903293963522,,
4,-0.003469375005,0.00552763877203688,-0.108903293963522,,
5,-0.00346645834,0.00502512615639716,-0.108903293963522,,
6,-0.003463541675,0.00552763877203688,-0.108903293963522,,
7,-0.00346062501,0.00552763877203688,-0.108903293963522,,
8,-0.003457708345,0.00552763877203688,-0.106440981850028,,
9,-0.00345479168,0.00552763877203688,-0.106440981850028,,
10,-0.003451875015,0.00477386984857731,-0.106440981850028,,
11,-0.00344895835,0.00552763877203688,-0.106440981850028,,
12,-0.003446041685,0.00552763877203688,-0.103978669736534,,
13,-0.00344312502,0.00527638246421702,-0.101516357623041,,
14,-0.003440208355,0.00427135723293759,-0.101516357623041,,
15,-0.00343729169,0.00577889507985674,-0.103978669736534,,
16,-0.003434375025,0.00502512615639716,-0.106440981850028,,
17,-0.00343145836,0.00452261354075745,-0.101516357623041,,
18,-0.003428541695,0.00477386984857731,-0.101516357623041,,
19,-0.00342562503,0.00452261354075745,-0.101516357623041,,
20,-0.003422708365,0.00452261354075745,-0.0965917333960533,,
21,-0.0034197917,0.00452261354075745,-0.101516357623041,,
22,-0.003416875035,0.00251256307819858,-0.0965917333960533,,
23,-0.00341395837,0.00351758830947801,-0.0892047970555723,,
24,-0.003411041705,0.00251256307819858,-0.0941294212825596,,
25,-0.00340812504,0.00251256307819858,-0.091667109169066,,
26,-0.003405208375,0.0030150756938383,-0.091667109169066,,
