Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 14:53:24

Analog Sample Count:,960,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,50 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,172 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-3.106 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.00396675,0.00301507534459233,,
2,-0.003964958335,0.00326633162330836,,
3,-0.00396316667,0.00326633162330836,,
4,-0.003961375005,0.00402010045945644,,
5,-0.00395958334,0.00414572859881446,,
6,-0.003957791675,0.00489949743496254,,
7,-0.00395600001,0.00552763813175261,,
8,-0.003954208345,0.00464824115624651,,
9,-0.00395241668,0.00527638185303658,,
10,-0.003950625015,0.00527638185303658,,
11,-0.00394883335,0.00515075371367857,,
12,-0.003947041685,0.00565326627111062,,
13,-0.00394525002,0.00527638185303658,,
14,-0.003943458355,0.00590452254982665,,
15,-0.00394166669,0.00603015068918467,,
16,-0.003939875025,0.00615577882854268,,
17,-0.00393808336,0.00665829138597474,,
18,-0.003936291695,0.00653266324661672,,
19,-0.00393450003,0.00753768836148083,,
20,-0.003932708365,0.0072864320827648,,
21,-0.0039309167,0.00628140696790069,,
22,-0.003929125035,0.0072864320827648,,
23,-0.00392733337,0.00665829138597474,,
24,-0.003925541705,0.00640703510725871,,
25,-0.00392375004,0.00615577882854268,,
26,-0.003921958375,0.00640703510725871,,
27,-0.00392016671,0.00741206022212282,,
28,-0.003918375045,0.00653266324661672,,
29,-0.00391658338,0.00653266324661672,,
30,-0.003914791715,0.00640703510725871,,
31,-0.00391300005,0.00603015068918467,,
32,-0.003911208385,0.00678391952533275,,
33,-0.00390941672,0.00628140696790069,,
34,-0.003907625055,0.00590452254982665,,
35,-0.00390583339,0.00565326627111062,,
36,-0.003904041725,0.00577889441046864,,
37,-0.00390225006,0.00653266324661672,,
38,-0.003900458395,0.00552763813175261,,
39,-0.00389866673,0.00565326627111062,,
40,-0.003896875065,0.0054020099923946,,
41,-0.0038950834,0.00565326627111062,,
42,-0.003893291735,0.00489949743496254,,
43,-0.00389150007,0.00615577882854268,,
44,-0.003889708405,0.00603015068918467,,
45,-0.00388791674,0.00628140696790069,,
46,-0.003886125075,0.00603015068918467,,
47,-0.00388433341,0.00640703510725871,,
48,-0.003882541745,0.00590452254982665,,
49,-0.00388075008,0.00565326627111062,,
50,-0.003878958415,0.00565326627111062,,
51,-0.00387716675,0.00577889441046864,,
52,-0.003875375085,0.00590452254982665,,
53,-0.00387358342,0.0054020099923946,,
54,-0.003871791755,0.00565326627111062,,
55,-0.00387000009,0.00489949743496254,,
56,-0.003868208425,0.00552763813175261,,
57,-0.00386641676,0.00603015068918467,,
58,-0.003864625095,0.0045226130168885,,
59,-0.00386283343,0.00464824115624651,,
60,-0.003861041765,0.00489949743496254,,
61,-0.0038592501,0.00502512557432055,,
62,-0.003857458435,0.00477386929560453,,
63,-0.00385566677,0.00389447232009843,,
64,-0.003853875105,0.00389447232009843,,
65,-0.00385208344,0.00427135673817247,,
66,-0.003850291775,0.00389447232009843,,
67,-0.00384850011,0.00414572859881446,,
68,-0.003846708445,0.00326633162330836,,
69,-0.00384491678,0.00251256278716028,,
70,-0.003843125115,0.00414572859881446,,
71,-0.00384133345,0.00326633162330836,,
72,-0.003839541785,0.00301507534459233,,
73,-0.00383775012,0.0036432160413824,,
74,-0.003835958455,0.00288944720523432,,
75,-0.00383416679,0.00226130650844425,,
76,-0.003832375125,0.00226130650844425,,
77,-0.00383058346,0.00314070348395035,,
78,-0.003828791795,0.00288944720523432,,
79,-0.00382700013,0.00226130650844425,,
80,-0.003825208465,0.00226130650844425,,
81,-0.0038234168,0.00188442209037021,,
82,-0.003821625135,0.00201005022972822,,
83,-0.00381983347,0.00175879395101219,,
84,-0.003818041805,0.00163316581165418,,
85,-0.00381625014,0.000879396975506097,,
86,-0.003814458475,0.00125628139358014,,
87,-0.00381266681,0.00163316581165418,,
88,-0.003810875145,0.00150753767229617,,
89,-0.00380908348,0.00100502511486411,,
90,-0.003807291815,0.00125628139358014,,
91,-0.00380550015,0.00100502511486411,,
92,-0.003803708485,0.000753768836148083,,
93,-0.00380191682,0.000125628139358014,,
94,-0.003800125155,0.000251256278716028,,
95,-0.00379833349,0.000251256278716028,,
96,-0.003796541825,0.000628140696790069,,
97,-0.00379475016,-0.000376884418074042,,
98,-0.003792958495,0,,
99,-0.00379116683,-0.000376884418074042,,
100,-0.003789375165,-0.000251256278716028,,
101,-0.0037875835,-0.00138190953293815,,
102,-0.003785791835,-0.000879396975506097,,
103,-0.00378400017,-0.00138190953293815,,
104,-0.003782208505,-0.00175879395101219,,
105,-0.00378041684,-0.00238693464780226,,
106,-0.003778625175,-0.00238693464780226,,
107,-0.00377683351,-0.00263819092651829,,
108,-0.003775041845,-0.00351758790202439,,
109,-0.00377325018,-0.00326633162330836,,
110,-0.003771458515,-0.00314070348395035,,
111,-0.00376966685,-0.00414572859881446,,
112,-0.003767875185,-0.00427135673817247,,
113,-0.00376608352,-0.00414572859881446,,
114,-0.003764291855,-0.00314070348395035,,
115,-0.00376250019,-0.00414572859881446,,
116,-0.003760708525,-0.00376884418074042,,
117,-0.00375891686,-0.0036432160413824,,
118,-0.003757125195,-0.00502512557432055,,
119,-0.00375533353,-0.00439698487753049,,
120,-0.003753541865,-0.00427135673817247,,
121,-0.0037517502,-0.00515075371367857,,
122,-0.003749958535,-0.0045226130168885,,
123,-0.00374816687,-0.00402010045945644,,
124,-0.003746375205,-0.00477386929560453,,
125,-0.00374458354,-0.00502512557432055,,
126,-0.003742791875,-0.00552763813175261,,
127,-0.00374100021,-0.00502512557432055,,
128,-0.003739208545,-0.00515075371367857,,
129,-0.00373741688,-0.00464824115624651,,
130,-0.003735625215,-0.00515075371367857,,
131,-0.00373383355,-0.0054020099923946,,
132,-0.003732041885,-0.00489949743496254,,
133,-0.00373025022,-0.00464824115624651,,
134,-0.003728458555,-0.00376884418074042,,
135,-0.00372666689,-0.00402010045945644,,
136,-0.003724875225,-0.00389447232009843,,
137,-0.00372308356,-0.00464824115624651,,
138,-0.003721291895,-0.00414572859881446,,
139,-0.00371950023,-0.00439698487753049,,
140,-0.003717708565,-0.0045226130168885,,
141,-0.0037159169,-0.00414572859881446,,
142,-0.003714125235,-0.00427135673817247,,
143,-0.00371233357,-0.00439698487753049,,
144,-0.003710541905,-0.00402010045945644,,
145,-0.00370875024,-0.00489949743496254,,
146,-0.003706958575,-0.00590452254982665,,
147,-0.00370516691,-0.00527638185303658,,
148,-0.003703375245,-0.00565326627111062,,
149,-0.00370158358,-0.00628140696790069,,
150,-0.003699791915,-0.00640703510725871,,
151,-0.00369800025,-0.00615577882854268,,
152,-0.003696208585,-0.00640703510725871,,
153,-0.00369441692,-0.00640703510725871,,
154,-0.003692625255,-0.00577889441046864,,
155,-0.00369083359,-0.00678391952533275,,
156,-0.003689041925,-0.00716080394340679,,
157,-0.00368725026,-0.00741206022212282,,
158,-0.003685458595,-0.00741206022212282,,
159,-0.00368366693,-0.00653266324661672,,
160,-0.003681875265,-0.00778894464019686,,
161,-0.0036800836,-0.00766331650083885,,
162,-0.003678291935,-0.00854271347634494,,
163,-0.00367650027,-0.00891959789441898,,
164,-0.003674708605,-0.00841708533698693,,
165,-0.00367291694,-0.00929648231249303,,
166,-0.003671125275,-0.00854271347634494,,
167,-0.00366933361,-0.00791457277955487,,
168,-0.003667541945,-0.00954773859120905,,
169,-0.00366575028,-0.00929648231249303,,
170,-0.003663958615,-0.00954773859120905,,
171,-0.00366216695,-0.00891959789441898,,
172,-0.003660375285,-0.00967336673056707,,
173,-0.00365858362,-0.00954773859120905,,
174,-0.003656791955,-0.0100502511486411,,
175,-0.00365500029,-0.0099246230092831,,
176,-0.003653208625,-0.00891959789441898,,
177,-0.00365141696,-0.00942211045185104,,
178,-0.003649625295,-0.00929648231249303,,
179,-0.00364783363,-0.00829145719762892,,
180,-0.003646041965,-0.009045226033777,,
181,-0.0036442503,-0.00954773859120905,,
182,-0.003642458635,-0.00967336673056707,,
183,-0.00364066697,-0.0101758792879991,,
184,-0.003638875305,-0.00917085417313501,,
185,-0.00363708364,-0.00929648231249303,,
186,-0.003635291975,-0.00917085417313501,,
187,-0.00363350031,-0.00917085417313501,,
188,-0.003631708645,-0.0104271355667152,,
189,-0.00362991698,-0.00929648231249303,,
190,-0.003628125315,-0.00791457277955487,,
191,-0.00362633365,-0.00979899486992508,,
192,-0.003624541985,-0.00879396975506097,,
193,-0.00362275032,-0.009045226033777,,
194,-0.003620958655,-0.00979899486992508,,
195,-0.00361916699,-0.00954773859120905,,
196,-0.003617375325,-0.00929648231249303,,
197,-0.00361558366,-0.0101758792879991,,
198,-0.003613791995,-0.0110552762635052,,
199,-0.00361200033,-0.0100502511486411,,
200,-0.003610208665,-0.0109296481241472,,
201,-0.003608417,-0.0113065325422212,,
202,-0.003606625335,-0.0113065325422212,,
203,-0.00360483367,-0.0120603013783693,,
204,-0.003603042005,-0.0118090450996533,,
205,-0.00360125034,-0.0130653264932334,,
206,-0.003599458675,-0.0125628139358014,,
207,-0.00359766701,-0.0130653264932334,,
208,-0.003595875345,-0.0129396983538754,,
209,-0.00359408368,-0.0141959797474556,,
210,-0.003592292015,-0.0152010048623197,,
211,-0.00359050035,-0.0159547736984678,,
212,-0.003588708685,-0.0152010048623197,,
213,-0.00358691702,-0.0164572862558998,,
214,-0.003585125355,-0.0169597988133319,,
215,-0.00358333369,-0.01771356764948,,
216,-0.003581542025,-0.01771356764948,,
217,-0.00357975036,-0.018467336485628,,
218,-0.003577958695,-0.0187185927643441,,
219,-0.00357616703,-0.0201005022972822,,
220,-0.003574375365,-0.0202261304366402,,
221,-0.0035725837,-0.0204773867153563,,
222,-0.003570792035,-0.0213567836908624,,
223,-0.00356900037,-0.0217336681089364,,
224,-0.003567208705,-0.0223618088057265,,
225,-0.00356541704,-0.0229899495025165,,
226,-0.003563625375,-0.0234924620599486,,
227,-0.00356183371,-0.0248743715928867,,
228,-0.003560042045,-0.0246231153141707,,
229,-0.00355825038,-0.0257537685683928,,
230,-0.003556458715,-0.0260050248471089,,
231,-0.00355466705,-0.0261306529864669,,
232,-0.003552875385,-0.0276381906587631,,
233,-0.00355108372,-0.0282663313555531,,
234,-0.003549292055,-0.0277638187981211,,
235,-0.00354750039,-0.0290201001917012,,
236,-0.003545708725,-0.0286432157736272,,
237,-0.00354391706,-0.0296482408884913,,
238,-0.003542125395,-0.0297738690278493,,
239,-0.00354033373,-0.0300251253065653,,
240,-0.003538542065,-0.0292713564704172,,
241,-0.0035367504,-0.0298994971672073,,
242,-0.003534958735,-0.0300251253065653,,
243,-0.00353316707,-0.0306532660033554,,
244,-0.003531375405,-0.0312814067001455,,
245,-0.00352958374,-0.0309045222820714,,
246,-0.003527792075,-0.0306532660033554,,
247,-0.00352600041,-0.0304020097246394,,
248,-0.003524208745,-0.0312814067001455,,
249,-0.00352241708,-0.0314070348395035,,
250,-0.003520625415,-0.0312814067001455,,
251,-0.00351883375,-0.0310301504214294,,
252,-0.003517042085,-0.0309045222820714,,
253,-0.00351525042,-0.0311557785607874,,
254,-0.003513458755,-0.0307788941427134,,
255,-0.00351166709,-0.0321608036756516,,
256,-0.003509875425,-0.0314070348395035,,
257,-0.00350808376,-0.0310301504214294,,
258,-0.003506292095,-0.0302763815852813,,
259,-0.00350450043,-0.0298994971672073,,
260,-0.003502708765,-0.0296482408884913,,
261,-0.0035009171,-0.0283919594949111,,
262,-0.003499125435,-0.0285175876342691,,
263,-0.00349733377,-0.027261306240689,,
264,-0.003495542105,-0.026884421822615,,
265,-0.00349375044,-0.0256281404290348,,
266,-0.003491958775,-0.0239949746173806,,
267,-0.00349016711,-0.0229899495025165,,
268,-0.003488375445,-0.0218592962482944,,
269,-0.00348658378,-0.0204773867153563,,
270,-0.003484792115,-0.0201005022972822,,
271,-0.00348300045,-0.0188442209037021,,
272,-0.003481208785,-0.0168341706739739,,
273,-0.00347941712,-0.0154522611410357,,
274,-0.003477625455,-0.0144472360261716,,
275,-0.00347583379,-0.0133165827719495,,
276,-0.003474042125,-0.0114321606815793,,
277,-0.00347225046,-0.0104271355667152,,
278,-0.003470458795,-0.009045226033777,,
279,-0.00346866713,-0.00778894464019686,,
280,-0.003466875465,-0.00615577882854268,,
281,-0.0034650838,-0.0054020099923946,,
282,-0.003463292135,-0.00439698487753049,,
283,-0.00346150047,-0.00376884418074042,,
284,-0.003459708805,-0.00251256278716028,,
285,-0.00345791714,-0.00175879395101219,,
286,-0.003456125475,-0.000753768836148083,,
287,-0.00345433381,0.000376884418074042,,
288,-0.003452542145,0.00113065325422212,,
289,-0.00345075048,0.00125628139358014,,
290,-0.003448958815,0.00226130650844425,,
291,-0.00344716715,0.00339195976266637,,
292,-0.003445375485,0.0045226130168885,,
293,-0.00344358382,0.00502512557432055,,
294,-0.003441792155,0.00615577882854268,,
295,-0.00344000049,0.00753768836148083,,
296,-0.003438208825,0.00841708533698693,,
297,-0.00343641716,0.00979899486992508,,
298,-0.003434625495,0.0103015074273571,,
299,-0.00343283383,0.0118090450996533,,
300,-0.003431042165,0.0133165827719495,,
301,-0.0034292505,0.0143216078868136,,
302,-0.003427458835,0.0148241204442456,,
303,-0.00342566717,0.0165829143952578,,
304,-0.003423875505,0.01771356764948,,
305,-0.00342208384,0.0189698490430601,,
306,-0.003420292175,0.0190954771824181,,
307,-0.00341850051,0.0212311555515043,,
308,-0.003416708845,0.0228643213631585,,
309,-0.00341491718,0.0239949746173806,,
310,-0.003413125515,0.0253768841503188,,
311,-0.00341133385,0.0263819092651829,,
312,-0.003409542185,0.0281407032161951,,
313,-0.00340775052,0.0290201001917012,,
314,-0.003405958855,0.0310301504214294,,
315,-0.00340416719,0.0306532660033554,,
316,-0.003402375525,0.0324120599543676,,
317,-0.00340058386,0.0325376880937256,,
318,-0.003398792195,0.0342964820447378,,
319,-0.00339700053,0.0342964820447378,,
320,-0.003395208865,0.0350502508808859,,
321,-0.0033934172,0.0349246227415279,,
322,-0.003391625535,0.0351758790202439,,
323,-0.00338983387,0.035804019717034,,
324,-0.003388042205,0.0355527634383179,,
325,-0.00338625054,0.0354271352989599,,
326,-0.003384458875,0.03605527599575,,
327,-0.00338266721,0.0353015071596019,,
328,-0.003380875545,0.0356783915776759,,
329,-0.00337908388,0.0350502508808859,,
330,-0.003377292215,0.0353015071596019,,
331,-0.00337550055,0.0339195976266637,,
332,-0.003373708885,0.0336683413479477,,
333,-0.00337191722,0.0335427132085897,,
334,-0.003370125555,0.0325376880937256,,
335,-0.00336833389,0.0326633162330836,,
336,-0.003366542225,0.0311557785607874,,
337,-0.00336475056,0.0309045222820714,,
