Sample,T1_ms,T1_err_ms,T2_ms,T2_err_ms,T2_star_ms,T2_star_err_ms,delta_B0_T,delta_B0_err_T,proportion,proportion_err
0.1 M CuSO$_4$,4.48,0.09,5.6,0.7,0.28,0.04,1.18e-05,2.1e-06,3.6e-05,6e-06
1.0 M CuSO$_4$,0.828,0.012,0.79,0.07,0.26,0.04,5.3e-06,2.7e-06,1.6e-05,8e-06
Heavy Mineral Oil,32.1,0.8,18.9,1.9,0.27,0.04,1.35e-05,2.1e-06,4.1e-05,6e-06
Light Mineral Oil,60.0,3.1,69.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A
Water,1.24,0.26,0.026,0.007,N/A,N/A,N/A,N/A,N/A,N/A
Unknown Mineral Oil,32.29,0.34,70.0,8.0,0.29,0.04,1.29e-05,2e-06,3.9e-05,6e-06
