current_a,magnetic_field_g,field_uncertainty_g,sho_period_1_s,sho_period_2_s,sho_period_3_s,sho_period_4_s,sho_period_5_s,half_precession_period_s,min_spin_frequency_rpm,max_spin_frequency_rpm
-2.00,13.9,0.2,5.62,5.60,5.55,5.49,5.79,11.55,996.0,1038.0
-1.75,11.7,0.1,6.35,5.94,6.15,6.38,6.36,12.09,923.3,1021.0
-1.50,10.1,0.2,6.56,6.74,6.54,7.03,6.70,15.21,888.3,968.4
-1.25,8.3,0.1,7.91,7.32,7.64,7.41,7.27,21.62,994.5,1081.0
-1.00,6.4,1.0,8.40,8.13,8.29,8.21,8.28,23.43,773.6,846.4
